pearsons_correlation,Metadata_treatment,reference,Metadata_Pathway
0.09186710900910906,UCD-0001613,Healthy,Endocrinology & Hormones
0.1173295427666668,UCD-0001613,Healthy,Endocrinology & Hormones
-0.18207000169422974,UCD-0001613,Healthy,Endocrinology & Hormones
-0.004688154349142861,UCD-0001613,Healthy,Endocrinology & Hormones
0.035959107704102024,UCD-0001613,Healthy,Endocrinology & Hormones
0.04185614552568199,UCD-0001613,Healthy,Endocrinology & Hormones
-0.11387154932663715,UCD-0001613,Healthy,Endocrinology & Hormones
-0.014862076038187975,UCD-0001613,Healthy,Endocrinology & Hormones
0.037308120407561415,UCD-0001613,Healthy,Endocrinology & Hormones
0.02098271624402688,UCD-0001613,Healthy,Endocrinology & Hormones
-0.11603417135642398,UCD-0001613,Healthy,Endocrinology & Hormones
-0.013718971689504714,UCD-0001613,Healthy,Endocrinology & Hormones
0.084380433598445,UCD-0001613,Healthy,Endocrinology & Hormones
0.14874631624852885,UCD-0001613,Healthy,Endocrinology & Hormones
-0.2141330356458032,UCD-0001613,Healthy,Endocrinology & Hormones
-0.03768044255538159,UCD-0001613,Healthy,Endocrinology & Hormones
0.02038620080556763,UCD-0001613,Healthy,Endocrinology & Hormones
0.0997061230534291,UCD-0001613,Healthy,Endocrinology & Hormones
-0.2433331807153671,UCD-0001613,Healthy,Endocrinology & Hormones
-0.0950650624164682,UCD-0001613,Healthy,Endocrinology & Hormones
0.012099564337465911,UCD-0001613,Healthy,Endocrinology & Hormones
0.05542820869572128,UCD-0001613,Healthy,Endocrinology & Hormones
-0.2783738760435477,UCD-0001613,Healthy,Endocrinology & Hormones
-0.2759766069086117,UCD-0001613,Healthy,Endocrinology & Hormones
-0.18751488407895278,UCD-0001613,Healthy,Endocrinology & Hormones
-0.1690043611871499,UCD-0001613,Healthy,Endocrinology & Hormones
0.032115370392648564,UCD-0001613,Healthy,Endocrinology & Hormones
0.1896038737784207,UCD-0001613,Healthy,Endocrinology & Hormones
0.25174220734223735,UCD-0001613,Healthy,Endocrinology & Hormones
0.3295325976499934,UCD-0001613,Healthy,Endocrinology & Hormones
0.20938238413021723,UCD-0001613,Healthy,Endocrinology & Hormones
0.24782393932901495,UCD-0001613,Healthy,Endocrinology & Hormones
0.1534780498820051,UCD-0001613,Healthy,Endocrinology & Hormones
0.310056332651957,UCD-0001613,Healthy,Endocrinology & Hormones
-0.03128225127446629,UCD-0001613,Healthy,Endocrinology & Hormones
0.11521758897413759,UCD-0001613,Healthy,Endocrinology & Hormones
0.04537520708523217,UCD-0001613,Healthy,Endocrinology & Hormones
0.08999693701025924,UCD-0001613,Healthy,Endocrinology & Hormones
0.1162091664095356,UCD-0001613,Healthy,Endocrinology & Hormones
0.184137755833346,UCD-0001613,Healthy,Endocrinology & Hormones
0.12043393735191016,UCD-0001613,Healthy,Endocrinology & Hormones
0.12023845075856075,UCD-0001613,Healthy,Endocrinology & Hormones
-0.045672322814637456,UCD-0001613,Healthy,Endocrinology & Hormones
0.09500848472087127,UCD-0001613,Healthy,Endocrinology & Hormones
0.0924928832263511,UCD-0001613,Healthy,Endocrinology & Hormones
0.19208556126751453,UCD-0001613,Healthy,Endocrinology & Hormones
-0.198836746130558,UCD-0001613,Healthy,Endocrinology & Hormones
-0.07695981679406069,UCD-0001613,Healthy,Endocrinology & Hormones
-0.02135062993859096,UCD-0001613,Healthy,Endocrinology & Hormones
0.07089920095681582,UCD-0001613,Healthy,Endocrinology & Hormones
-0.24895452979406726,UCD-0001613,Healthy,Endocrinology & Hormones
-0.05519342104030333,UCD-0001613,Healthy,Endocrinology & Hormones
-0.008295218310427633,UCD-0001613,Healthy,Endocrinology & Hormones
0.040730639362553715,UCD-0001613,Healthy,Endocrinology & Hormones
-0.3229566032456414,UCD-0001613,Healthy,Endocrinology & Hormones
-0.1443075594528261,UCD-0001613,Healthy,Endocrinology & Hormones
-0.15523612081401233,UCD-0001613,Healthy,Endocrinology & Hormones
-0.09404783346129146,UCD-0001613,Healthy,Endocrinology & Hormones
0.24344504032100545,UCD-0001766,Healthy,Angiogenesis
0.20876973031958904,UCD-0001766,Healthy,Angiogenesis
0.14852551282447957,UCD-0001766,Healthy,Angiogenesis
0.16758223507852013,UCD-0001766,Healthy,Angiogenesis
0.24026459016325855,UCD-0001766,Healthy,Angiogenesis
